"sample_id","sample","filter_id","filter","raw_n_panel_b","spec","coef_conv","se_conv","pv_conv","coef_bc","se_robust","pv_robust","h_left","h_right","obs_h","error"
"panel_b_ex2","ex_super=f & ex_super2=t","baseline","baseline",1181,"msetwo_fe",0.0237499409782269,0.056610616884957,0.674827687364214,0.0235571718377059,0.0643648544037928,0.714369305632001,0.161813353542966,0.075877763310096,440,""
"panel_b_ex2","ex_super=f & ex_super2=t","baseline","baseline",1181,"twomse_fe",0.0220847292022417,0.0338021427077759,0.51352877233886,0.0211631937316147,0.0453846502726032,0.640995554213053,0.323626707085933,0.151755526620192,637,""
"panel_b_ex2","ex_super=f & ex_super2=t","baseline","baseline",1181,"h020_010_fe",0.0181693712976064,0.0496846852886943,0.714593724259887,0.0399303984186486,0.0638153354085678,0.531499982505613,0.2,0.1,494,""
"panel_b_ex2","ex_super=f & ex_super2=t","baseline","baseline",1181,"h030_015_fe",0.0231321459766978,0.03487268523977,0.507118351516543,0.0232955422211026,0.0464932951687586,0.616334773801151,0.3,0.15,622,""
"panel_b_ex2","ex_super=f & ex_super2=t","baseline","baseline",1181,"h040_020_fe",0.0155412248076801,0.0292326314123092,0.594975624314878,0.0350948873753866,0.0396376492466664,0.375944839844913,0.4,0.2,673,""
"panel_b_ex2","ex_super=f & ex_super2=t","baseline","baseline",1181,"msetwo_no_fe",-0.0287878935142386,0.0511652071023269,0.573676036536695,-0.0386266318058531,0.0593690697052914,0.515292603197524,0.19308193307871,0.0754742269415783,460,""
"panel_b_ex2","ex_super=f & ex_super2=t","drop_row_av365365_ltm0_or_exltm0","drop row av365=365 & (ltm=0 or ex_q_ltm=0)",1173,"msetwo_fe",0.0245355570381811,0.0570878312856772,0.66735123645451,0.0248615791272524,0.0649325816904618,0.701806545783638,0.161335092651415,0.0759214526327967,439,""
"panel_b_ex2","ex_super=f & ex_super2=t","drop_row_av365365_ltm0_or_exltm0","drop row av365=365 & (ltm=0 or ex_q_ltm=0)",1173,"twomse_fe",0.0219622175647855,0.0338065633594283,0.515922462201726,0.0215982159432118,0.0453675469292647,0.634023129002933,0.32267018530283,0.151842905265593,635,""
"panel_b_ex2","ex_super=f & ex_super2=t","drop_row_av365365_ltm0_or_exltm0","drop row av365=365 & (ltm=0 or ex_q_ltm=0)",1173,"h020_010_fe",0.0184057486837112,0.0498707376669689,0.712076213997767,0.0407334694687143,0.064082683984818,0.525011577840668,0.2,0.1,492,""
"panel_b_ex2","ex_super=f & ex_super2=t","drop_row_av365365_ltm0_or_exltm0","drop row av365=365 & (ltm=0 or ex_q_ltm=0)",1173,"h030_015_fe",0.0228971824186839,0.0348443867248404,0.511099349654559,0.0236584071557071,0.0464219597077188,0.610304908533081,0.3,0.15,620,""
"panel_b_ex2","ex_super=f & ex_super2=t","drop_row_av365365_ltm0_or_exltm0","drop row av365=365 & (ltm=0 or ex_q_ltm=0)",1173,"h040_020_fe",0.0151896890926245,0.0291752574465544,0.602620371751578,0.0350838286441083,0.0395420401138308,0.374942228167438,0.4,0.2,671,""
"panel_b_ex2","ex_super=f & ex_super2=t","drop_row_av365365_ltm0_or_exltm0","drop row av365=365 & (ltm=0 or ex_q_ltm=0)",1173,"msetwo_no_fe",-0.0289450530602246,0.051434391340703,0.573600506320217,-0.0385406687924571,0.0597019691138511,0.518570147704129,0.192640007820697,0.0754753885930418,459,""
