"review_min","price_trim","change_trim","panel","raw_n","coef","se","p","h_left","h_right","obs_h","error"
5,0,0,"A",13722,-0.0515545017295947,0.0292411733219189,0.0778871485868718,0.129791546808945,0.111763130021079,3382,NA
5,0,0,"B",13503,-0.00809133156385796,0.0383469531087479,0.832884738770566,0.219536355511083,0.0505704831132167,5230,NA
5,0,0,"C",27225,-0.0247802514732278,0.0193700667010137,0.200789158422321,0.215839298862661,0.0470349544330444,6639,NA
5,0.01,0,"A",13255,-0.05450462515894,0.0306715986198238,0.0755618328938907,0.13226160886631,0.100624942816274,2838,NA
5,0.01,0,"B",12870,0.00959126015958536,0.0333059680622961,0.773366472927746,0.196988745237927,0.0996858630866856,5106,NA
5,0.01,0,"C",26125,-0.0316581909638997,0.0136934774642775,0.020782227010116,0.330027953316412,0.0899135996462897,9326,NA
5,0,0.01,"A",13467,-0.06477359264528,0.0268756060787483,0.0159470190853377,0.129821313733917,0.109846376841087,3264,NA
5,0,0.01,"B",13206,0.0189146812062756,0.0354988104122438,0.594154189099932,0.210335427537073,0.0485383075886214,4839,NA
5,0,0.01,"C",26673,-0.0343052783876648,0.0139306531749157,0.0137943315212448,0.305299153217719,0.0594422715968783,8324,NA
5,0.01,0.01,"A",12984,-0.0683789759203124,0.0272147425405819,0.0119854946787567,0.137028942062588,0.103447520910372,2885,NA
5,0.01,0.01,"B",12613,0.0282955433997658,0.0283621699385208,0.318448686490032,0.194647794976115,0.0903893934668343,4937,NA
5,0.01,0.01,"C",25597,-0.0188570471773244,0.0129795102759339,0.146270419698962,0.241898258860272,0.0881841179851973,7928,NA
10,0,0,"A",11923,-0.0348294856352198,0.0340804929789538,0.306791707721357,0.101047557403414,0.11418476118539,3060,NA
10,0,0,"B",10242,-0.048442555963794,0.0404309280935078,0.230856321157539,0.260231334664754,0.0526097620255933,4484,NA
10,0,0,"C",22165,-0.0341527191183996,0.0190879829715036,0.073578394839064,0.233145235483645,0.0601843252196018,5987,NA
10,0.01,0,"A",11531,-0.042234445055481,0.0327628982749731,0.197365520981417,0.13256617931729,0.101356261834556,2559,NA
10,0.01,0,"B",9762,-0.0336139713380584,0.0367766222813844,0.360714865807283,0.217326319032475,0.0879882979223337,4144,NA
10,0.01,0,"C",21293,-0.0369499332858086,0.0157979508796257,0.0193402622575655,0.283678378669405,0.0876484362564006,7158,NA
10,0,0.01,"A",11697,-0.0524002138762854,0.0301955149730443,0.0826763275408732,0.105864344940545,0.116978374358471,3123,NA
10,0,0.01,"B",10020,-0.0487587233535232,0.0362070491230608,0.178088527256102,0.234526504621019,0.0812155692547247,4233,NA
10,0,0.01,"C",21717,-0.0424737068900495,0.0156085095390347,0.00650475289180651,0.26975566587494,0.0770664562096246,6743,NA
10,0.01,0.01,"A",11289,-0.0590439852916414,0.0302562141717378,0.0510015896216711,0.117311641172421,0.109718068165982,2783,NA
10,0.01,0.01,"B",9572,-0.0119505973039491,0.0302472089507049,0.692770917573123,0.215100870639371,0.0924464032154936,4038,NA
